Time,Displacement 1,Displacement 2,Displacement 3,Displacement 4,Displacement 5,Displacement 6,Displacement 7,Displacement 8,Displacement 9,Displacement 10,Displacement 11,Displacement 12,Displacement 13,Displacement 14,Displacement 15,Displacement 16,Displacement 17,Displacement 18,Displacement 19,Displacement 20,Displacement 21,Displacement 22,Displacement 23,Displacement 24,Displacement 25,Displacement 26,Displacement 27,Displacement 28,Displacement 29,Displacement 30
0.194688,0,0,0,0,0,-1.3146132,-1.8616914,-2.98825,-3.394508,-3.253688,-1.02425,-3.461804,-3.429402,-2.722812,-1.6311446,-4.6361425,5.94716,0.706914,4.115254,6.73537,2.233496,6.35217,0.15963282,2.439121,-5.77329,-13.493455,-0.791631,12.405545,11.741955,0
0.19968,0,0,0,0,0,-1.3133672,-1.8604454,-2.990742,-3.393262,-3.254934,-1.025496,-3.455574,-3.431894,-2.72655,-1.6298984,-4.6486035,5.96585,0.71626,4.05917,6.760295,2.2272655,6.333475,0.15340234,2.4422365,-5.76083,-13.515265,-0.791631,12.386855,11.75753,0
0.204672,0,0,0,0,0,-1.323336,-1.8604454,-2.996972,-3.393262,-3.24621,-1.0292344,-3.45682,-3.430648,-2.727796,-1.6286524,-4.6361425,5.968965,0.731836,4.0685155,6.77587,2.2521875,6.302315,0.1421875,2.4702735,-5.823145,-13.49034,-0.7604785,12.35259,11.760645,0
0.209664,0,0,0,0,0,-1.3208438,-1.8641836,-3.00445,-3.393262,-3.251196,-1.025496,-3.454328,-3.424418,-2.73029,-1.6261602,-4.642373,5.975195,0.759873,4.0560545,6.73537,2.2833495,6.3179,0.16461718,2.49208,-5.80756,-13.52461,-0.738672,12.355705,11.726375,0
0.214656,0,0,0,0,0,-1.324582,-1.8654296,-3.003204,-3.397,-3.24995,-1.0217578,-3.465542,-3.425664,-2.722812,-1.6311446,-4.6486035,5.962735,0.759873,4.0560545,6.766525,2.2490725,6.2992,0.1421875,2.448467,-5.804445,-13.47788,-0.791631,12.35259,11.76376,0
0.219648,0,0,0,0,0,-1.3270742,-1.8729062,-3.00445,-3.398246,-3.24995,-1.02425,-3.465542,-3.424418,-2.72655,-1.6286524,-4.6486035,5.968965,0.7536425,4.0685155,6.76341,2.2553025,6.302315,0.14467968,2.476504,-5.829375,-13.502805,-0.7480175,12.34324,11.73884,0
0.22464,0,0,0,0,0,-1.324582,-1.8753984,-3.01068,-3.399492,-3.251196,-1.025496,-3.464296,-3.42691,-2.72655,-1.6311446,-4.6486035,5.97208,0.744297,4.05917,6.754065,2.2802345,6.289855,0.16461718,2.49208,-5.816915,-13.515265,-0.7449025,12.34324,11.732605,0
0.229632,0,0,0,0,0,-1.3283204,-1.8753984,-3.013176,-3.398246,-3.253688,-1.025496,-3.46679,-3.429402,-2.721566,-1.6323906,-4.629912,5.962735,0.7256055,4.105908,6.701105,2.274004,6.33036,0.162125,2.488965,-5.816915,-13.509035,-0.7449025,12.346355,11.72326,0
0.234624,0,0,0,0,0,-1.3357968,-1.884121,-3.01068,-3.398246,-3.247458,-1.0217578,-3.46305,-3.429402,-2.727796,-1.6323906,-4.6454885,5.97208,0.756758,4.0560545,6.754065,2.2677735,6.2992,0.14966406,2.476504,-5.82626,-13.493455,-0.751133,12.349475,11.7513,0
0.239616,0,0,0,0,0,-1.337043,-1.8928476,-3.015668,-3.397,-3.248704,-1.0192656,-3.459312,-3.428156,-2.721566,-1.6323906,-4.629912,5.96585,0.7380665,4.084092,6.71668,2.2833495,6.302315,0.15838672,2.4858495,-5.82003,-13.521495,-0.741787,12.38374,11.707685,0
0.244608,0,0,0,0,0,-1.3420274,-1.9053086,-3.01816,-3.398246,-3.252442,-1.0205118,-3.468036,-3.424418,-2.724058,-1.6298984,-4.6486035,5.96585,0.7505275,4.099668,6.70422,2.258418,6.35217,0.16835546,2.4733885,-5.79198,-13.521495,-0.741787,12.34324,11.760645,0
0.2496,0,0,0,0,0,-1.352,-1.9090468,-3.021898,-3.397,-3.251196,-1.023004,-3.455574,-3.431894,-2.724058,-1.6274062,-4.626797,5.95962,0.7411815,4.0903225,6.713565,2.2646485,6.349055,0.16835546,2.464043,-5.770175,-13.533965,-0.7573635,12.393085,11.69834,0
0.254592,0,0,0,0,0,-1.3544922,-1.9152774,-3.028128,-3.395754,-3.25618,-1.0217578,-3.461804,-3.435632,-2.72032,-1.6311446,-4.629912,5.95339,0.6882225,4.1090235,6.744715,2.230381,6.33659,0.14592578,2.4297755,-5.80756,-13.47788,-0.794746,12.380625,11.748185,0
0.259584,0,0,0,0,0,-1.350754,-1.910293,-3.031868,-3.393262,-3.25618,-1.0279882,-3.459312,-3.434386,-2.722812,-1.6298984,-4.6330275,5.962735,0.691338,4.118369,6.738485,2.230381,6.339705,0.14592578,2.436006,-5.80133,-13.474765,-0.791631,12.405545,11.726375,0
0.264576,0,0,0,0,0,-1.353246,-1.9177696,-3.031868,-3.392016,-3.254934,-1.0279882,-3.458066,-3.429402,-2.725304,-1.6286524,-4.626797,5.95962,0.6882225,4.115254,6.71668,2.258418,6.355285,0.16461718,2.448467,-5.76083,-13.49969,-0.7885155,12.3962,11.741955,0
0.269568,0,0,0,0,0,-1.3619688,-1.9202618,-3.038098,-3.394508,-3.24995,-1.023004,-3.451832,-3.425664,-2.72655,-1.623668,-4.6330275,5.975195,0.6975685,4.0778615,6.760295,2.2366115,6.33659,0.15091016,2.4422365,-5.770175,-13.49969,-0.7854005,12.40866,11.713915,0
0.27456,0,0,0,0,0,-1.3706914,-1.924,-3.039344,-3.397,-3.247458,-1.02425,-3.461804,-3.423172,-2.72655,-1.6261602,-4.642373,5.981425,0.7411815,4.0654005,6.76964,2.2366115,6.32413,0.1434336,2.4453515,-5.810675,-13.47788,-0.791631,12.40243,11.74507,0
0.279552,0,0,0,0,0,-1.3706914,-1.9289844,-3.04682,-3.394508,-3.252442,-1.025496,-3.455574,-3.431894,-2.724058,-1.6224218,-4.626797,5.962735,0.691338,4.0903225,6.75718,2.233496,6.32413,0.14592578,2.439121,-5.804445,-13.468535,-0.77917,12.35259,11.76376,0
0.284544,0,0,0,0,0,-1.378168,-1.938957,-3.048066,-3.394508,-3.253688,-1.0267422,-3.45682,-3.428156,-2.727796,-1.6274062,-4.6486035,5.968965,0.759873,4.0560545,6.738485,2.2802345,6.30544,0.15838672,2.4827345,-5.80756,-13.51838,-0.7324415,12.380625,11.71703,0
0.289536,0,0,0,0,0,-1.3831524,-1.9414492,-3.048066,-3.399492,-3.253688,-1.025496,-3.46305,-3.430648,-2.722812,-1.6311446,-4.639258,5.95962,0.756758,4.049824,6.766525,2.2677735,6.31167,0.14592578,2.4733885,-5.816915,-13.46542,-0.769824,12.35259,11.760645,0
0.294528,0,0,0,0,0,-1.3893828,-1.9501718,-3.05305,-3.395754,-3.251196,-1.0292344,-3.461804,-3.429402,-2.725304,-1.6311446,-4.642373,5.97831,0.759873,4.0560545,6.72914,2.2833495,6.30544,0.1608789,2.488965,-5.823145,-13.49969,-0.738672,12.34324,11.741955,0
0.29952,0,0,0,0,0,-1.4018476,-1.9576484,-3.05305,-3.395754,-3.247458,-1.0192656,-3.461804,-3.42691,-2.72655,-1.6323906,-4.6454885,5.975195,0.7287205,4.05917,6.75718,2.2802345,6.314785,0.162125,2.4951955,-5.788865,-13.515265,-0.7449025,12.38997,11.707685,0
0.304512,0,0,0,0,0,-1.4105704,-1.9626328,-3.054296,-3.398246,-3.247458,-1.0217578,-3.45682,-3.429402,-2.722812,-1.6298984,-4.6330275,5.95962,0.7661035,4.05917,6.719795,2.2833495,6.32413,0.16710938,2.4951955,-5.7951,-13.51838,-0.729326,12.355705,11.713915,0
0.309504,0,0,0,0,0,-1.419293,-1.965125,-3.05679,-3.399492,-3.248704,-1.0192656,-3.460558,-3.428156,-2.72032,-1.6298984,-4.639258,5.962735,0.7411815,4.0965525,6.71045,2.2708885,6.35217,0.16710938,2.488965,-5.776405,-13.51838,-0.751133,12.393085,11.707685,0
0.314496,0,0,0,0,0,-1.420539,-1.9750938,-3.063024,-3.398246,-3.254934,-1.0217578,-3.460558,-3.430648,-2.722812,-1.6261602,-4.629912,5.96585,0.6975685,4.0903225,6.76341,2.2272655,6.361515,0.15589454,2.448467,-5.770175,-13.521495,-0.741787,12.38374,11.707685,0
